Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
3,0.6352150032982081,0.953125,58.708438747464555,10,[0.03297698 0.02118469],6.83590988879196,0.7666015625,0.25,4.210638075191754,-7.226356902202524,512000.0,9
4,0.6352150032982081,0.927734375,59.394180312726334,10,[0.10330302 0.16647131],2.8660717673767238,0.7548828125,0.25,4.210638075191754,-3.75680296015146,512000.0,9
5,0.6352150032982081,0.955078125,58.92585265200074,10,[0.01072943 0.00948996],2.300379252761772,0.7783203125,0.25,4.210638075191754,-9.268697127790432,512000.0,9
6,0.6352150032982081,0.921875,58.87945765634066,10,[0.18970009 0.19147808],3.975848503764084,0.703125,0.25,4.210638075191754,-2.883769060558108,512000.0,9
7,0.6352150032982081,0.970703125,56.95291642046968,10,[2.57954476e-04 2.19948229e-05],5.741116040799966,0.87890625,0.25,4.210638075191754,-21.245141204394656,512000.0,9
8,0.6352150032982081,0.9765625,56.779820106392535,10,[0.00100895 0.0011398 ],7.57953772964639,0.8427734375,0.25,4.210638075191754,-14.136506516301239,512000.0,9
9,0.6352150032982081,0.92578125,56.779820106392535,10,[0.04479343 0.04751849],6.991345382348769,0.6875,0.25,4.210638075191754,-5.9649662586951555,512000.0,9
10,0.6352150032982081,0.927734375,56.779820106392535,10,[0.00464892 0.00083293],4.107235339115412,0.763671875,0.25,4.210638075191754,-13.533884848616893,512000.0,9
11,0.6352150032982081,0.9453125,56.779820106392535,10,[0.00806014 0.01727511],5.615541023408639,0.7734375,0.25,4.210638075191754,-9.078869983689442,512000.0,9
0,0.6352150032982081,0.9296875,63.779820106392535,3,[0.04445434 0.0151571 ],-4.729387276896929,0.7568359375,0.5,-2.7893619248082464,-11.013058928436024,512000.0,9
1,0.6352150032982081,0.98828125,63.779820106392535,3,[0.00088565 0.00014323],-0.277630749636387,0.89453125,0.5,-2.7893619248082464,-20.82436054535401,512000.0,9
