Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
2,1.4142135623730954,0.728515625,50.25576261223691,20,[0.01003768 0.01863347],10.197816167701106,0.4736328125,0.5,17.220938031831565,-0.6963525790046958,512000.0,18
3,1.4142135623730954,0.787109375,50.25576261223691,20,[2.78076326e-06 2.96302441e-07],17.282374951035287,0.53271484375,0.5,17.220938031831565,-22.629949628671934,512000.0,18
4,1.4142135623730954,0.619140625,50.25576261223691,20,[0.00686195 0.00662476],13.352057252489196,0.38037109375,0.5,17.220938031831565,-2.1302039132065715,512000.0,18
5,1.4142135623730954,0.845703125,50.25576261223691,20,[3.94614525e-04 3.10724811e-05],11.098663250327064,0.59912109375,0.5,17.220938031831565,-12.47146898183658,512000.0,18
6,1.4142135623730954,0.6806640625,50.25576261223691,20,[0.00281486 0.01843945],9.91917715662104,0.44482421875,0.5,17.220938031831565,-2.829970450213067,512000.0,18
7,1.4142135623730954,0.662109375,50.25576261223691,20,[0.01875054 0.0122315 ],11.75632814658237,0.4296875,0.5,17.220938031831565,-0.42184426592913815,512000.0,18
8,1.4142135623730954,0.7333984375,50.25576261223691,20,[0.03293228 0.06047507],10.02116833692314,0.486328125,0.5,17.220938031831565,1.8753238743574059,512000.0,18
9,1.4142135623730954,0.7294921875,50.25576261223691,20,[0.02347846 0.00452925],11.116578874520073,0.46728515625,0.5,17.220938031831565,-1.8716713172210286,512000.0,18
10,1.4142135623730954,0.62109375,50.25576261223691,20,[0.04946908 0.01071701],10.178714760454028,0.3857421875,0.5,17.220938031831565,-0.04420610605328065,512000.0,18
11,1.4142135623730954,0.77734375,50.25576261223691,20,[0.01443101 0.01753201],12.55502543982638,0.52587890625,0.5,17.220938031831565,-0.27635886771034257,512000.0,18
0,1.4142135623730954,0.7412109375,60.25576261223691,10,[0.23148266 0.28390973],2.0993486262185,0.48779296875,0.5,7.220938031831565,0.7590417011597315,512000.0,18
1,1.4142135623730954,0.705078125,60.25576261223691,10,[0.26499123 0.51799389],0.45244151704144997,0.46240234375,0.5,7.220938031831565,1.4502511329551593,512000.0,18
2,1.4142135623730954,0.7138671875,60.25576261223691,10,[0.05730989 0.06005388],4.128852658708084,0.478515625,0.5,7.220938031831565,-2.432578982387383,512000.0,18
3,1.4142135623730954,0.708984375,60.25576261223691,10,[0.0202479  0.06844999],0.9597228783081562,0.46923828125,0.5,7.220938031831565,-3.7995617428056363,512000.0,18
4,1.4142135623730954,0.748046875,60.25576261223691,10,[1.46061197e-05 8.85364826e-06],7.676545906584181,0.49755859375,0.5,7.220938031831565,-21.06209497618346,512000.0,18
5,1.4142135623730954,0.728515625,60.25576261223691,10,[0.03072117 0.08451737],5.621687470719408,0.486328125,0.5,7.220938031831565,-3.0048322405259276,512000.0,18
6,1.4142135623730954,0.7421875,60.25576261223691,10,[0.08923465 0.09249237],3.1478064807405133,0.48681640625,0.5,7.220938031831565,-1.4826623417693838,512000.0,18
7,1.4142135623730954,0.7763671875,60.25576261223691,10,[0.0555926  0.01225574],1.843759934449153,0.51171875,0.5,7.220938031831565,-4.75967493278965,512000.0,18
8,1.4142135623730954,0.7373046875,60.25576261223691,10,[0.1144262  0.20832524],3.9052923537318236,0.49169921875,0.5,7.220938031831565,-0.42676614113348343,512000.0,18
9,1.4142135623730954,0.76953125,60.25576261223691,10,[0.14404586 0.05038467],4.629744541693583,0.51806640625,0.5,7.220938031831565,-1.908588180028317,512000.0,18
10,1.4142135623730954,0.7685546875,60.25576261223691,10,[0.06927218 0.01600418],3.6568777726869257,0.51025390625,0.5,7.220938031831565,-4.198943474842849,512000.0,18
11,1.4142135623730954,0.7734375,60.25576261223691,10,[0.00503121 0.00455921],3.374635734560883,0.52197265625,0.5,7.220938031831565,-7.875140266637828,512000.0,18
0,1.4142135623730954,0.732421875,67.25576261223691,3,[0.01266695 0.03454007],-5.040014210880429,0.48974609375,0.5833333333333334,0.22093803183156524,-8.433819108714388,512000.0,18
1,1.4142135623730954,0.7734375,67.25576261223691,3,[0.02425839 0.08532204],-2.64398477570829,0.52099609375,0.5833333333333334,0.22093803183156524,-6.887810957391935,512000.0,18
2,1.4142135623730954,0.7451171875,67.25576261223691,3,[0.71516135 0.30661689],-3.2161155086356388,0.49462890625,0.5833333333333334,0.22093803183156524,-1.6105447304220206,512000.0,18
